duns_number,company_name,tradestyle,address_line_1,address_line_2,city,state,postal_code,phone,website,revenue_raw,revenue_numeric,revenue_formatted,employees_total,employees_single_site,business_description,industry,ownership_type,entity_type,is_headquarters,contact_count,primary_contact_name,primary_contact_title,primary_contact_email_flag,primary_contact_phone_flag
071493142,"International Packaging, Inc.",,8921 Wyoming Ave N,,Minneapolis,Minnesota,55445-1834,1-763-315-6200,http://www.internationalpackaging.com,5457492.8,5457492.8,5457492.8,100,100,"International Packaging, Inc. is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis.",Miscellaneous Professional Services,Private,Independent,false,3,John Kilmartin,President,Y,Y
118757426,"Schmid & Son Packaging, Inc.",,7699 95Th St S,,Cottage Grove,Minnesota,55016-3945,1-651-452-0588,http://www.schmidpackaging.com,2233928.0,2233928,2233928.0,100,100,"Schmid & Son Packaging, Inc. is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis.",Miscellaneous Professional Services,Private,Independent,false,3,Stephen Schmid,Chief Executive Officer,Y,Y
080621270,AUTOMOTION LLC,,225 S 6Th St Ste 3900,,Minneapolis,Minnesota,55402-4622,1-612-353-4125,http://www.automotiontv.com,1224760.0999999999,1224760.0999999999,1224760.0999999999,100,100,"Automotion Llc is primarily engaged in providing computer programming services on a contract or fee basis. Establishments of this industry perform a variety of additional services, such as computer software design and analysis; modifications of custom software; and training in the use of custom software.",Computer Programming,Private,Independent,false,1,Kapil Shah,Head Of Data & Analytics,Y,Y
076503150,Oneida Realty Co Inc,"Medical Arts Garage, Fourth Ave Auto Park, Shopper's Auto Park, Prindle Lachmund Properties, Alworth Land And Improvement Co",306 W Superior St Ste 1605,,Duluth,Minnesota,55802-1887,1-218-722-0816,http://www.oneidacres.com,5942361.8,5942361.8,5942361.8,100,100,Oneida Realty Co Inc is primarily engaged in the operation of nonresidential buildings.,Commercial Real Estate Leasing,Private,Independent,false,3,Patricia Mcgaffey,President & Ceo,Y,Y
102419723,"Project Consulting Group, Inc.",,104 Main St N Ste 100,,Stillwater,Minnesota,55082-5077,1-952-248-8264,http://www.pcg-usa.com,4485568.0,4485568,4485568.0,100,100,"Project Consulting Group, Inc. is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning.",Consulting Services,Private,Independent,false,3,Gregory Mcgrane,Chief Executive Officer,Y,Y
056101860,INNOVATIVE HANDLING SOLUTIONS LLC,,8620 81St St S,,Cottage Grove,Minnesota,55016-3272,1-952-942-8696,http://www.ihsmsp.com,3706749.9000000004,3706749.9000000004,3706749.9000000004,100,100,"Innovative Handling Solutions Llc is primarily engaged in operating and maintaining airports and flying fields; in servicing, repairing (except on a factory basis), maintaining, and storing aircraft; and in furnishing coordinated handling services for airfreight or passengers at airports. This also includes air traffic control operations.",Air Transportation Services,Private,Independent,false,3,Kim Gilmore,President,Y,Y
018711221,"NovoLogix, Inc.",,10400 Viking Dr Ste 200,,Eden Prairie,Minnesota,55344-7271,1-952-826-2500,http://www.acmcentral.com,2413424.0,2413424,2413424.0,100,100,"Novologix, Inc. is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning.",Consulting Services,Private,Independent,false,3,David Mclean,Chief Executive Officer,Y,Y
616485173,"BYTWARE, INC.",Bytware,6455 City West Pkwy,,Eden Prairie,Minnesota,55344-3246,1-952-933-0609,http://www.fortra.com,3121149.0999999996,3121149.0999999996,3121149.0999999996,100,100,"Bytware, Inc. is primarily engaged in the design, development, and production of prepackaged computer software. Important products of this industry include operating, utility, and applications programs. Establishments of this industry may also provide services such as preparation of software documentation for the user-installation of software for the user; and training the user in the use of the software.",Software,Private,Independent,false,3,Matt Reck,President,Y,Y
085639768,"Pathway Health Services, Inc.",Pathway Health,11240 Stillwater Blvd N Ste A,,Lake Elmo,Minnesota,55042-9640,1-651-407-8699,http://www.pathwayhealth.com,5618794.0,5618794,5618794.0,100,100,"Pathway Health Services, Inc. is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning.",Consulting Services,Private,Independent,false,3,Debby Schuna,Chief Executive Officer,Y,Y
148508419,"Direct Response Insurance Administrative Services, Inc.","DRIASI, I A S, IAS",7930 Century Blvd,,Chanhassen,Minnesota,55317-8000,1-952-556-5600,,3124958.0,3124958,3124958.0,100,100,"Agents primarily representing one or more insurance carriers, or brokers not representing any particular carriers primarily engaged as independent contractors in the sale or placement of insurance contracts with carriers, but not employees of the insurance carriers they represent. This industry also includes independent organizations concerned with insurance services.",Insurance Services,Private,Independent,false,3,Melissa Schlinger,"Vice President, People And Culture",Y,Y
144651247,"VERIFIED CREDENTIALS, LLC",Verified Credentials,20890 Kenbridge Ct,,Lakeville,Minnesota,55044-8049,1-952-985-7200,http://www.verifiedcredentials.com,4052405.8,4052405.8,4052405.8,100,90,"Verified Credentials, Llc is primarily engaged in providing computer processing and data preparation services. The service may consist of complete processing and preparation of reports from data supplied by the customer or a specialized service, such as data entry or making data processing equipment available on an hourly or time-sharing basis.",Data Processing,Private,Independent,false,3,Andrew Neblett,Chief Executive Officer,Y,Y
